,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date
1151,52,Lil Baby,Sum 2 Prove,26,16,9,3/21/2020
1152,53,Lil Mosey,Blueberry Faygo,52,51,5,3/21/2020
1153,54,Bad Bunny,La Dificil,33,33,2,3/21/2020
1154,55,Pop Smoke,Dior,47,30,4,3/21/2020
1155,56,Bad Bunny,Si Veo A Tu Mama,32,32,2,3/21/2020
1156,57,Lil Baby & Gunna,Heatin Up,18,18,2,3/21/2020
1157,58,Rod Wave,Heart On Ice,55,54,18,3/21/2020
1158,59,Megan Thee Stallion,B.I.T.C.H.,0,31,5,3/21/2020
1159,60,Jake Owen,Homemade,70,60,7,3/21/2020
1160,61,H.E.R. Featuring YG,Slide,56,52,12,3/21/2020
1161,62,Russ & BIA,BEST ON EARTH,60,52,14,3/21/2020
1162,63,Jonas Brothers,What A Man Gotta Do,41,16,8,3/21/2020
1163,64,Lil Baby,Emotionally Scarred,31,31,2,3/21/2020
1164,65,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.),0,65,1,3/21/2020
1165,66,Bad Bunny,Vete,36,33,15,3/21/2020
1166,67,Justin Bieber,Yummy,40,2,10,3/21/2020
1167,68,Lil Baby Featuring Lil Uzi Vert,Commercial,23,23,2,3/21/2020
1168,69,Blake Shelton Duet With Gwen Stefani,Nobody But You,67,43,9,3/21/2020
1169,70,Morgan Wallen,Chasin' You,71,67,7,3/21/2020
1170,71,Doja Cat & Tyga,Juicy,57,41,20,3/21/2020
1171,72,Lil Uzi Vert,Secure The Bag,0,72,1,3/21/2020
1172,73,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,74,73,5,3/21/2020
1173,74,Megan Thee Stallion,Captain Hook,0,74,1,3/21/2020
1174,75,Karol G & Nicki Minaj,Tusa,62,42,15,3/21/2020
1175,76,Lil Uzi Vert Featuring Syd,Urgency,0,76,1,3/21/2020
1176,77,Jordan Davis,Slow Dance In A Parking Lot,75,72,10,3/21/2020
1177,78,Luke Bryan,What She Wants Tonight,72,64,12,3/21/2020
1178,79,Gunna,SkyBox,0,79,1,3/21/2020
1179,80,SZA X Justin Timberlake,The Other Side,61,61,2,3/21/2020
1180,81,Jason Aldean,We Back,79,62,15,3/21/2020
1181,82,Riley Green,I Wish Grandpas Never Died,83,66,11,3/21/2020
1182,83,Bad Bunny & Sech,Ignorantes,49,49,3,3/21/2020
1183,84,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81,81,2,3/21/2020
1184,85,Ingrid Andress,More Hearts Than Mine,77,67,11,3/21/2020
1185,86,Brett Young,Catch,87,81,7,3/21/2020
1186,87,Jhene Aiko,Triggered,0,51,4,3/21/2020
1187,88,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,38,38,2,3/21/2020
1188,89,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,0,89,1,3/21/2020
1189,90,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,65,60,4,3/21/2020
1190,91,Carly Pearce & Lee Brice,I Hope You're Happy Now,88,65,10,3/21/2020
1191,92,Bad Bunny X Daddy Yankee,La Santa,53,53,2,3/21/2020
1192,93,Jhene Aiko Featuring Big Sean,None Of Your Concern,0,55,3,3/21/2020
1193,94,Khalid x Disclosure,Know Your Worth,86,57,5,3/21/2020
1194,95,BrockHampton,SUGAR,0,66,9,3/21/2020
1195,96,Sam Smith,To Die For,84,46,4,3/21/2020
1196,97,Bad Bunny,Yo Perreo Sola,69,69,2,3/21/2020
1197,98,Lil Baby & 42 Dugg,Grace,48,48,2,3/21/2020
1198,99,Surfaces,Sunday Best,98,98,2,3/21/2020
1199,100,The Weeknd,After Hours,66,20,4,3/21/2020
1200,1,Roddy Ricch,The Box,1,1,15,3/28/2020
1201,2,The Weeknd,Blinding Lights,4,2,16,3/28/2020
1202,3,Dua Lipa,Don't Start Now,2,2,20,3/28/2020
1203,4,Future Featuring Drake,Life Is Good,3,2,10,3/28/2020
1204,5,Post Malone,Circles,5,1,29,3/28/2020
1205,6,Arizona Zervas,Roxanne,7,4,20,3/28/2020
1206,7,Harry Styles,Adore You,16,7,15,3/28/2020
1207,8,Justin Bieber Featuring Quavo,Intentions,10,8,6,3/28/2020
1208,9,Lewis Capaldi,Someone You Loved,15,1,45,3/28/2020
1209,10,Billie Eilish,Everything I Wanted,14,8,19,3/28/2020
1210,11,blackbear,Hot Girl Bummer,17,11,27,3/28/2020
1211,12,Maroon 5,Memories,13,2,26,3/28/2020
1212,13,Lil Uzi Vert,Myron,0,13,1,3/28/2020
1213,14,Doja Cat Featuring Nicki Minaj,Say So,19,14,11,3/28/2020
1214,15,Tones And I,Dance Monkey,12,4,24,3/28/2020
1215,16,The Weeknd,Heartless,21,1,17,3/28/2020
1216,17,Maren Morris,The Bones,23,17,26,3/28/2020
1217,18,Camila Cabello Featuring DaBaby,My Oh My,26,18,15,3/28/2020
1218,19,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),0,19,1,3/28/2020
1219,20,YNW Melly & Juice WRLD,Suicidal,0,20,16,3/28/2020
1220,21,Mustard & Roddy Ricch,Ballin',29,11,35,3/28/2020
1221,22,Dan + Shay & Justin Bieber,"10,000 Hours",27,4,24,3/28/2020
1222,23,Eminem Featuring Juice WRLD,Godzilla,32,3,9,3/28/2020
1223,24,DaBaby,BOP,35,11,25,3/28/2020
1224,25,Lady Gaga,Stupid Love,30,5,3,3/28/2020
1225,26,Lil Uzi Vert & 21 Savage,Yessirskiii,0,26,1,3/28/2020
1226,27,Lil Uzi Vert,Baby Pluto,6,6,2,3/28/2020
1227,28,Lil Baby,Woah,31,15,19,3/28/2020
1228,29,Trevor Daniel,Falling,42,25,18,3/28/2020
1229,30,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),47,30,17,3/28/2020
1230,31,Selena Gomez,Lose You To Love Me,38,1,22,3/28/2020
1231,32,Chris Brown Featuring Drake,No Guidance,46,5,41,3/28/2020
1232,33,Roddy Ricch Featuring Mustard,High Fashion,43,20,12,3/28/2020
1233,34,Halsey,You Should Be Sad,41,26,10,3/28/2020
1234,35,Kane Brown,Homesick,44,35,18,3/28/2020
1235,36,Gabby Barrett Featuring Charlie Puth,I Hope,50,36,12,3/28/2020
1236,37,Lil Uzi Vert,P2,11,11,2,3/28/2020
1237,38,Lil Mosey,Blueberry Faygo,53,38,6,3/28/2020
1238,39,Jake Owen,Homemade,60,39,8,3/28/2020
1239,40,Rod Wave,Heart On Ice,58,40,19,3/28/2020
1240,41,Lil Uzi Vert,That Way,20,20,3,3/28/2020
1241,42,Lil Uzi Vert,Lo Mein,8,8,2,3/28/2020
1242,43,Demi Lovato,I Love Me,18,18,2,3/28/2020
1243,44,Lizzo,Good As Hell,49,3,30,3/28/2020
1244,45,Lil Uzi Vert,Lotus,0,45,1,3/28/2020
1245,46,Russ & BIA,BEST ON EARTH,62,46,15,3/28/2020
1246,47,H.E.R. Featuring YG,Slide,61,47,13,3/28/2020
1247,48,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,73,48,6,3/28/2020
1248,49,Luke Bryan,What She Wants Tonight,78,49,13,3/28/2020
1249,50,Pop Smoke,Dior,55,30,5,3/28/2020
1250,51,Lil Baby,Sum 2 Prove,52,16,10,3/28/2020
1251,52,Lil Uzi Vert,Silly Watch,9,9,2,3/28/2020
1252,53,Blake Shelton Duet With Gwen Stefani,Nobody But You,69,43,10,3/28/2020
1253,54,Lil Uzi Vert Featuring Future,Wassup,0,54,1,3/28/2020
1254,55,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,89,55,2,3/28/2020
1255,56,Ingrid Andress,More Hearts Than Mine,85,56,12,3/28/2020
1256,57,Jhene Aiko Featuring H.E.R.,B.S.,24,24,2,3/28/2020
1257,58,Morgan Wallen,Chasin' You,70,58,8,3/28/2020
1258,59,Jordan Davis,Slow Dance In A Parking Lot,77,59,11,3/28/2020
1259,60,Lil Uzi Vert Featuring Young Thug & Gunna,Strawberry Peels,0,60,1,3/28/2020
1260,61,Jhene Aiko,P*$$y Fairy (OTW),40,40,9,3/28/2020
1261,62,Lil Uzi Vert,Moon Relate,0,62,1,3/28/2020
1262,63,Jonas Brothers,What A Man Gotta Do,63,16,9,3/28/2020
1263,64,Karol G & Nicki Minaj,Tusa,75,42,16,3/28/2020
1264,65,Brett Young,Catch,86,65,8,3/28/2020
1265,66,Lil Uzi Vert,I Can Show You,0,66,1,3/28/2020
1266,67,Jason Aldean,We Back,81,62,16,3/28/2020
1267,68,Lil Uzi Vert,Trap This Way (This Way),0,68,1,3/28/2020
1268,69,Riley Green,I Wish Grandpas Never Died,82,66,12,3/28/2020
1269,70,Bad Bunny,Si Veo A Tu Mama,56,32,3,3/28/2020
1270,71,Powfu Featuring beabadoobee,Death Bed,0,71,1,3/28/2020
1271,72,Lil Uzi Vert Featuring NAV,Leaders,0,72,1,3/28/2020
1272,73,Lil Baby & Gunna,Heatin Up,57,18,3,3/28/2020
1273,74,Surfaces,Sunday Best,99,74,3,3/28/2020
1274,75,Lil Baby & 42 Dugg,Grace,98,48,3,3/28/2020
1275,76,Lil Uzi Vert Featuring Lil Durk,No Auto,0,76,1,3/28/2020
1276,77,SZA X Justin Timberlake,The Other Side,80,61,3,3/28/2020
1277,78,Justin Bieber,Yummy,67,2,11,3/28/2020
1278,79,Megan Thee Stallion,B.I.T.C.H.,59,31,6,3/28/2020
1279,80,Bad Bunny,La Dificil,54,33,3,3/28/2020
1280,81,Carly Pearce & Lee Brice,I Hope You're Happy Now,91,65,11,3/28/2020
1281,82,Lil Uzi Vert,Homecoming,22,22,2,3/28/2020
1282,83,Lil Uzi Vert,Come This Way,0,83,1,3/28/2020
1283,84,Sam Smith,To Die For,96,46,5,3/28/2020
1284,85,Lil Baby,Emotionally Scarred,64,31,3,3/28/2020
1285,86,Luke Combs Featuring Eric Church,Does To Me,0,86,1,3/28/2020
1286,87,Lil Uzi Vert Featuring Young Thug,Got The Guap,0,87,1,3/28/2020
1287,88,BENEE Featuring Gus Dapperton,Supalonely,0,88,1,3/28/2020
1288,89,Lil Uzi Vert Featuring Young Nudy,Money Spread,0,89,1,3/28/2020
1289,90,Don Toliver,Cardigan,0,90,1,3/28/2020
1290,91,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,0,91,1,3/28/2020
1291,92,Bad Bunny,Vete,66,33,16,3/28/2020
1292,93,Khalid x Disclosure,Know Your Worth,94,57,6,3/28/2020
1293,94,Lil Uzi Vert,Futsal Shuffle 2020,48,5,11,3/28/2020
1294,95,Lil Uzi Vert,Prices,25,25,2,3/28/2020
1295,96,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,90,60,5,3/28/2020
1296,97,Lewis Capaldi,Before You Go,0,71,7,3/28/2020
1297,98,Megan Thee Stallion,Savage,0,98,1,3/28/2020
1298,99,Summer Walker & Usher,Come Thru,0,42,12,3/28/2020
1299,100,YoungBoy Never Broke Again,Make No Sense,0,57,18,3/28/2020
1300,1,The Weeknd,Blinding Lights,2,1,17,4/4/2020
1301,2,Roddy Ricch,The Box,1,1,16,4/4/2020
1302,3,Dua Lipa,Don't Start Now,3,2,21,4/4/2020
1303,4,The Weeknd,Heartless,16,1,18,4/4/2020
1304,5,Post Malone,Circles,5,1,30,4/4/2020
1305,6,Future Featuring Drake,Life Is Good,4,2,11,4/4/2020
1306,7,Harry Styles,Adore You,7,7,16,4/4/2020
1307,8,Justin Bieber Featuring Quavo,Intentions,8,8,7,4/4/2020
1308,9,Doja Cat Featuring Nicki Minaj,Say So,14,9,12,4/4/2020
1309,10,Arizona Zervas,Roxanne,6,4,21,4/4/2020
1310,11,Lewis Capaldi,Someone You Loved,9,1,46,4/4/2020
1311,12,Billie Eilish,Everything I Wanted,10,8,20,4/4/2020
1312,13,blackbear,Hot Girl Bummer,11,11,28,4/4/2020
1313,14,Maroon 5,Memories,12,2,27,4/4/2020
1314,15,Tones And I,Dance Monkey,15,4,25,4/4/2020
1315,16,The Weeknd,In Your Eyes,0,16,1,4/4/2020
1316,17,Maren Morris,The Bones,17,17,27,4/4/2020
1317,18,Camila Cabello Featuring DaBaby,My Oh My,18,18,16,4/4/2020
1318,19,Dan + Shay & Justin Bieber,"10,000 Hours",22,4,25,4/4/2020
1319,20,Megan Thee Stallion,Savage,98,20,2,4/4/2020
1320,21,The Weeknd,Alone Again,0,21,1,4/4/2020
1321,22,The Weeknd,After Hours,0,20,5,4/4/2020
1322,23,Mustard & Roddy Ricch,Ballin',21,11,36,4/4/2020
1323,24,The Weeknd,Scared To Live,0,24,1,4/4/2020
1324,25,The Weeknd,Hardest To Love,0,25,1,4/4/2020
1325,26,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),30,26,18,4/4/2020
1326,27,Lady Gaga,Stupid Love,25,5,4,4/4/2020
1327,28,The Weeknd,Too Late,0,28,1,4/4/2020
1328,29,Trevor Daniel,Falling,29,25,19,4/4/2020
1329,30,Gabby Barrett Featuring Charlie Puth,I Hope,36,30,13,4/4/2020
1330,31,DaBaby,BOP,24,11,26,4/4/2020
1331,32,The Weeknd,Snowchild,0,32,1,4/4/2020
1332,33,Halsey,You Should Be Sad,34,26,11,4/4/2020
1333,34,Chris Brown Featuring Drake,No Guidance,32,5,42,4/4/2020
1334,35,YNW Melly & Juice WRLD,Suicidal,20,20,17,4/4/2020
1335,36,Roddy Ricch Featuring Mustard,High Fashion,33,20,13,4/4/2020
1336,37,Lil Mosey,Blueberry Faygo,38,37,7,4/4/2020
1337,38,Eminem Featuring Juice WRLD,Godzilla,23,3,10,4/4/2020
1338,39,The Weeknd,Escape From LA,0,39,1,4/4/2020
1339,40,Kane Brown,Homesick,35,35,19,4/4/2020
1340,41,The Weeknd & Ariana Grande,Save Your Tears,0,41,1,4/4/2020
1341,42,Lil Baby,Woah,28,15,20,4/4/2020
1342,43,Rod Wave,Heart On Ice,40,40,20,4/4/2020
1343,44,Blake Shelton Duet With Gwen Stefani,Nobody But You,53,43,11,4/4/2020
1344,45,The Weeknd,Faith,0,45,1,4/4/2020
1345,46,Luke Bryan,What She Wants Tonight,49,46,14,4/4/2020
1346,47,Selena Gomez,Lose You To Love Me,31,1,23,4/4/2020
1347,48,Demi Lovato,I Love Me,43,18,3,4/4/2020
1348,49,Jordan Davis,Slow Dance In A Parking Lot,59,49,12,4/4/2020
1349,50,Jake Owen,Homemade,39,39,9,4/4/2020
1350,51,H.E.R. Featuring YG,Slide,47,47,14,4/4/2020
1351,52,Russ & BIA,BEST ON EARTH,46,46,16,4/4/2020
1352,53,Morgan Wallen,Chasin' You,58,53,9,4/4/2020
1353,54,Lil Uzi Vert,Myron,13,13,2,4/4/2020
1354,55,SAINt JHN,Roses,0,55,1,4/4/2020
1355,56,Ingrid Andress,More Hearts Than Mine,56,56,13,4/4/2020
1356,57,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,48,48,7,4/4/2020
1357,58,Pop Smoke,Dior,50,30,6,4/4/2020
1358,59,Powfu Featuring beabadoobee,Death Bed,71,59,2,4/4/2020
1359,60,Lil Baby,Sum 2 Prove,51,16,11,4/4/2020
1360,61,Brett Young,Catch,65,61,9,4/4/2020
1361,62,Surfaces,Sunday Best,74,62,4,4/4/2020
1362,63,Luke Combs Featuring Eric Church,Does To Me,86,63,2,4/4/2020
1363,64,Carly Pearce & Lee Brice,I Hope You're Happy Now,81,64,12,4/4/2020
1364,65,Kelsea Ballerini,homecoming queen?,0,65,13,4/4/2020
1365,66,Karol G & Nicki Minaj,Tusa,64,42,17,4/4/2020
1366,67,Jhene Aiko,P*$$y Fairy (OTW),61,40,10,4/4/2020
1367,68,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,91,68,2,4/4/2020
1368,69,The Weeknd,Repeat After Me (Interlude),0,69,1,4/4/2020
1369,70,Lil Uzi Vert,P2,37,11,3,4/4/2020
1370,71,BENEE Featuring Gus Dapperton,Supalonely,88,71,2,4/4/2020
1371,72,Jonas Brothers,What A Man Gotta Do,63,16,10,4/4/2020
1372,73,Lil Uzi Vert,That Way,41,20,4,4/4/2020
1373,74,Lil Uzi Vert,Baby Pluto,27,6,3,4/4/2020
1374,75,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,55,55,3,4/4/2020
1375,76,Jhene Aiko Featuring H.E.R.,B.S.,57,24,3,4/4/2020
1376,77,Lewis Capaldi,Before You Go,97,71,8,4/4/2020
1377,78,JACKBOYS Featuring Young Thug,Out West,0,38,11,4/4/2020
1378,79,SZA X Justin Timberlake,The Other Side,77,61,4,4/4/2020
1379,80,The Weeknd,Until I Bleed Out,0,80,1,4/4/2020
1380,81,Megan Thee Stallion,B.I.T.C.H.,79,31,7,4/4/2020
1381,82,Khalid x Disclosure,Know Your Worth,93,57,7,4/4/2020
1382,83,Justin Bieber,Yummy,78,2,12,4/4/2020
1383,84,Sam Smith,To Die For,84,46,6,4/4/2020
1384,85,Lil Baby & 42 Dugg,Grace,75,48,4,4/4/2020
1385,86,Lil Uzi Vert Featuring Chief Keef,Bean (Kobe),19,19,2,4/4/2020
1386,87,Lil Uzi Vert,Lo Mein,42,8,3,4/4/2020
1387,88,Summer Walker & Usher,Come Thru,99,42,13,4/4/2020
1388,89,Lil Baby,Emotionally Scarred,85,31,4,4/4/2020
1389,90,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,73,9,4/4/2020
1390,91,Lil Baby & Gunna,Heatin Up,73,18,4,4/4/2020
1391,92,Bad Bunny,Si Veo A Tu Mama,70,32,4,4/4/2020
1392,93,Lil Uzi Vert & 21 Savage,Yessirskiii,26,26,2,4/4/2020
1393,94,NLE Choppa Featuring Roddy Ricch,Walk Em Down,0,94,1,4/4/2020
1394,95,Kelsea Ballerini x Halsey,The Other Girl,0,95,1,4/4/2020
1395,96,YoungBoy Never Broke Again,Make No Sense,100,57,19,4/4/2020
1396,97,Idina Menzel & AURORA,Into The Unknown,0,46,11,4/4/2020
1397,98,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,96,60,6,4/4/2020
1398,99,Bad Bunny,Vete,92,33,17,4/4/2020
1399,100,Bad Bunny,La Dificil,80,33,4,4/4/2020
1400,1,The Weeknd,Blinding Lights,1,1,18,4/11/2020
1401,2,Roddy Ricch,The Box,2,1,17,4/11/2020
1402,3,Dua Lipa,Don't Start Now,3,2,22,4/11/2020
1403,4,Post Malone,Circles,5,1,31,4/11/2020
1404,5,Future Featuring Drake,Life Is Good,6,2,12,4/11/2020
1405,6,Harry Styles,Adore You,7,6,17,4/11/2020
1406,7,Doja Cat Featuring Nicki Minaj,Say So,9,7,13,4/11/2020
1407,8,Justin Bieber Featuring Quavo,Intentions,8,8,8,4/11/2020
1408,9,Billie Eilish,Everything I Wanted,12,8,21,4/11/2020
1409,10,Lewis Capaldi,Someone You Loved,11,1,47,4/11/2020
1410,11,Arizona Zervas,Roxanne,10,4,22,4/11/2020
1411,12,The Weeknd,Heartless,4,1,19,4/11/2020
1412,13,Maroon 5,Memories,14,2,28,4/11/2020
1413,14,Maren Morris,The Bones,17,14,28,4/11/2020
1414,15,Camila Cabello Featuring DaBaby,My Oh My,18,15,17,4/11/2020
1415,16,blackbear,Hot Girl Bummer,13,11,29,4/11/2020
1416,17,"NAV, Gunna & Travis Scott",Turks,0,17,1,4/11/2020
1417,18,Megan Thee Stallion,Savage,20,18,3,4/11/2020
1418,19,Lil Mosey,Blueberry Faygo,37,19,8,4/11/2020
1419,20,Tones And I,Dance Monkey,15,4,26,4/11/2020
1420,21,Dua Lipa,Break My Heart,0,21,1,4/11/2020
1421,22,Gabby Barrett Featuring Charlie Puth,I Hope,30,22,14,4/11/2020
1422,23,PARTYNEXTDOOR & Rihanna,Believe It,0,23,1,4/11/2020
1423,24,Mustard & Roddy Ricch,Ballin',23,11,37,4/11/2020
1424,25,Trevor Daniel,Falling,29,25,20,4/11/2020
1425,26,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),26,26,19,4/11/2020
1426,27,Lady Gaga,Stupid Love,27,5,5,4/11/2020
1427,28,Dan + Shay & Justin Bieber,"10,000 Hours",19,4,26,4/11/2020
1428,29,DaBaby,BOP,31,11,27,4/11/2020
1429,30,Rod Wave,Heart On Ice,43,30,21,4/11/2020
1430,31,Roddy Ricch Featuring Mustard,High Fashion,36,20,14,4/11/2020
1431,32,Blake Shelton Duet With Gwen Stefani,Nobody But You,44,32,12,4/11/2020
1432,33,YNW Melly & Juice WRLD,Suicidal,35,20,18,4/11/2020
1433,34,Halsey,You Should Be Sad,33,26,12,4/11/2020
1434,35,Chris Brown Featuring Drake,No Guidance,34,5,43,4/11/2020
1435,36,Morgan Wallen,Chasin' You,53,36,10,4/11/2020
1436,37,Jordan Davis,Slow Dance In A Parking Lot,49,37,13,4/11/2020
1437,38,Kane Brown,Homesick,40,35,20,4/11/2020
1438,39,SAINt JHN,Roses,55,39,2,4/11/2020
1439,40,Brett Young,Catch,61,40,10,4/11/2020
1440,41,Demi Lovato,I Love Me,48,18,4,4/11/2020
1441,42,The Weeknd,In Your Eyes,16,16,2,4/11/2020
1442,43,Powfu Featuring beabadoobee,Death Bed,59,43,3,4/11/2020
1443,44,Ingrid Andress,More Hearts Than Mine,56,44,14,4/11/2020
1444,45,H.E.R. Featuring YG,Slide,51,45,15,4/11/2020
1445,46,Lil Baby,Woah,42,15,21,4/11/2020
1446,47,Eminem Featuring Juice WRLD,Godzilla,38,3,11,4/11/2020
1447,48,Russ & BIA,BEST ON EARTH,52,46,17,4/11/2020
1448,49,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,57,48,8,4/11/2020
1449,50,Luke Bryan,What She Wants Tonight,46,46,15,4/11/2020
1450,51,Jake Owen,Homemade,50,39,10,4/11/2020
1451,52,Surfaces,Sunday Best,62,52,5,4/11/2020
1452,53,Bad Bunny,Yo Perreo Sola,0,53,3,4/11/2020
1453,54,Pop Smoke,Dior,58,30,7,4/11/2020
1454,55,Lil Baby,Sum 2 Prove,60,16,12,4/11/2020
1455,56,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix,68,56,3,4/11/2020
1456,57,NLE Choppa Featuring Roddy Ricch,Walk Em Down,94,57,2,4/11/2020
1457,58,Carly Pearce & Lee Brice,I Hope You're Happy Now,64,58,13,4/11/2020
1458,59,Luke Combs Featuring Eric Church,Does To Me,63,59,3,4/11/2020
1459,60,PARTYNEXTDOOR Featuring Drake,Loyal,0,60,3,4/11/2020
1460,61,The Weeknd,After Hours,22,20,6,4/11/2020
1461,62,BENEE Featuring Gus Dapperton,Supalonely,71,62,3,4/11/2020
1462,63,Lil Uzi Vert,Myron,54,13,3,4/11/2020
1463,64,Karol G & Nicki Minaj,Tusa,66,42,18,4/11/2020
1464,65,Jhene Aiko,P*$$y Fairy (OTW),67,40,11,4/11/2020
1465,66,Lewis Capaldi,Before You Go,77,66,9,4/11/2020
1466,67,Summer Walker & Usher,Come Thru,88,42,14,4/11/2020
1467,68,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,90,68,10,4/11/2020
1468,69,Alicia Keys,Underdog,0,69,2,4/11/2020
1469,70,SZA X Justin Timberlake,The Other Side,79,61,5,4/11/2020
1470,71,Khalid x Disclosure,Know Your Worth,82,57,8,4/11/2020
1471,72,JACKBOYS Featuring Young Thug,Out West,78,38,12,4/11/2020
1472,73,Lil Baby,Emotionally Scarred,89,31,5,4/11/2020
1473,74,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,75,55,4,4/11/2020
1474,75,Lil Uzi Vert,P2,70,11,4,4/11/2020
1475,76,Megan Thee Stallion,B.I.T.C.H.,81,31,8,4/11/2020
1476,77,Dua Lipa,Physical,0,60,2,4/11/2020
1477,78,Travis Denning,After A Few,0,78,1,4/11/2020
1478,79,Lil Uzi Vert,That Way,73,20,5,4/11/2020
1479,80,Jhene Aiko Featuring H.E.R.,B.S.,76,24,4,4/11/2020
1480,81,Florida Georgia Line,I Love My Country,0,81,1,4/11/2020
1481,82,Lil Baby & 42 Dugg,Grace,85,48,5,4/11/2020
1482,83,YoungBoy Never Broke Again,Make No Sense,96,57,20,4/11/2020
1483,84,Justin Bieber,Yummy,83,2,13,4/11/2020
1484,85,The Weeknd & Ariana Grande,Save Your Tears,41,41,2,4/11/2020
1485,86,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,0,81,3,4/11/2020
1486,87,Bad Bunny,La Dificil,100,33,5,4/11/2020
1487,88,Dustin Lynch,Ridin' Roads,0,47,18,4/11/2020
1488,89,Bad Bunny,Si Veo A Tu Mama,92,32,5,4/11/2020
1489,90,Taylor Swift,The Man,0,23,6,4/11/2020
1490,91,Sam Hunt,Hard To Forget,0,91,1,4/11/2020
1491,92,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,98,60,7,4/11/2020
1492,93,Kane Brown & John Legend,Last Time I Say Sorry,0,93,1,4/11/2020
1493,94,Jonas Brothers,What A Man Gotta Do,72,16,11,4/11/2020
1494,95,Lil Baby & Gunna,Heatin Up,91,18,5,4/11/2020
1495,96,JP Saxe Featuring Julia Michaels,If The World Was Ending,0,96,1,4/11/2020
1496,97,Bad Bunny,Vete,99,33,18,4/11/2020
1497,98,Lil Uzi Vert,Baby Pluto,74,6,4,4/11/2020
1498,99,Idina Menzel & AURORA,Into The Unknown,97,46,12,4/11/2020
1499,100,Noah Cyrus & Leon Bridges,July,0,91,5,4/11/2020
1500,1,Drake,Toosie Slide,0,1,1,4/18/2020
1501,2,The Weeknd,Blinding Lights,1,1,19,4/18/2020
1502,3,Roddy Ricch,The Box,2,1,18,4/18/2020
1503,4,Dua Lipa,Don't Start Now,3,2,23,4/18/2020
1504,5,Future Featuring Drake,Life Is Good,5,2,13,4/18/2020
1505,6,Post Malone,Circles,4,1,32,4/18/2020
1506,7,Harry Styles,Adore You,6,6,18,4/18/2020
1507,8,Doja Cat Featuring Nicki Minaj,Say So,7,7,14,4/18/2020
1508,9,Justin Bieber Featuring Quavo,Intentions,8,8,9,4/18/2020
1509,10,Billie Eilish,Everything I Wanted,9,8,22,4/18/2020
1510,11,Lewis Capaldi,Someone You Loved,10,1,48,4/18/2020
1511,12,Maren Morris,The Bones,14,12,29,4/18/2020
1512,13,Camila Cabello Featuring DaBaby,My Oh My,15,13,18,4/18/2020
1513,14,Megan Thee Stallion,Savage,18,14,4,4/18/2020
1514,15,Maroon 5,Memories,13,2,29,4/18/2020
1515,16,Arizona Zervas,Roxanne,11,4,23,4/18/2020
1516,17,blackbear,Hot Girl Bummer,16,11,30,4/18/2020
1517,18,Lil Mosey,Blueberry Faygo,19,18,9,4/18/2020
1518,19,The Weeknd,Heartless,12,1,20,4/18/2020
1519,20,Gabby Barrett Featuring Charlie Puth,I Hope,22,20,15,4/18/2020
1520,21,Tones And I,Dance Monkey,20,4,27,4/18/2020
1521,22,DaBaby,Find My Way,0,22,1,4/18/2020
1522,23,Trevor Daniel,Falling,25,23,21,4/18/2020
1523,24,Blake Shelton Duet With Gwen Stefani,Nobody But You,32,24,13,4/18/2020
1524,25,Rod Wave,Heart On Ice,30,25,22,4/18/2020
1525,26,Mustard & Roddy Ricch,Ballin',24,11,38,4/18/2020
1526,27,Morgan Wallen,Chasin' You,36,27,11,4/18/2020
1527,28,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),26,26,20,4/18/2020
1528,29,Brett Young,Catch,40,29,11,4/18/2020
1529,30,SAINt JHN,Roses,39,30,3,4/18/2020
1530,31,Roddy Ricch Featuring Mustard,High Fashion,31,20,15,4/18/2020
1531,32,Lady Gaga,Stupid Love,27,5,6,4/18/2020
